name,category,location,budget
Gorges de l’Oued El Melah,Eco-tourism Spot,Zaghouan,Low
Nefta,Eco-tourism Spot,Tozeur,Low
Oasis de Ksar Ghilane,Eco-tourism Spot,Southern Tunisia,Medium
Kroumirie Mountains,Natural Landmark,Jendouba,Low
Sidi Bouhlel,Eco-tourism Spot,Tozeur,Low
Ribat of Monastir,Historical Site,Monastir,Medium
Ras Angela,Hidden Gem,Bizerte,Low
Ghar Ezzit,Hidden Gem,Zaghouan,Low
Bargou Mountains,Natural Landmark,Siliana,Low
Pinnacle of Kelibia,Natural Landmark,Cap Bon,Low
Oued Zitoun Canyon,Natural Landmark,Northern Tunisia,Low
Sahara Desert Adventure,Eco-tourism Spot,Southern Tunisia,High
Djerba Beaches,Natural Landmark,Djerba,Medium
Fort of Kelibia,Historical Site,Kelibia,Medium
Utique Ruins,Historical Site,Bizerte,Low
Tataouine's Ksours,Historical Site,Tataouine,Low
Ksour of Medenine,Historical Site,Medenine,Low
Sejnane Pottery,Cultural Experience,Bizerte,Low
Ras Marmour Beach,Natural Landmark,Mahdia,Low
Ichkeul Lake,Natural Landmark,Bizerte,Low
Aghlabid Reservoirs,Historical Site,Kairouan,Low
Oued El Khil Canyon,Eco-tourism Spot,Tataouine,Low
Chott el Fejaj,Natural Landmark,Southern Tunisia,Low
Echraf Village,Hidden Gem,Zaghouan,Low
Douz,Eco-tourism Spot,Southern Tunisia,Medium
Dhehibat Dunes,Natural Landmark,Southern Tunisia,Low
Remada,Eco-tourism Spot,Tataouine,Low
Ksour Essef,Historical Site,Mahdia,Low
The Cave Houses of Matmata,Eco-tourism Spot,Matmata,Low
Bouhedma National Park,Natural Landmark,Gafsa,Low
Chambi Mountain,Natural Landmark,Kasserine,Low
Cap Serrat Beach,Natural Landmark,Bizerte,Low
Djebel Ressas,Eco-tourism Spot,Zaghouan,Low
Les Grottes de Hergla,Natural Landmark,Sousse,Low
Zembra Island Marine Reserve,Natural Landmark,Bizerte,Medium
Sidi Jdidi Village,Hidden Gem,Hammamet,Low
Bou Kornine National Park,Natural Landmark,Ben Arous,Low
The Ruins of Kerkouane,Historical Site,Cap Bon,Low
Lake Tunis,Natural Landmark,Tunis,Low
The Salt Lakes of Kebili,Natural Landmark,Kebili,Low
Raf-Raf Beach,Natural Landmark,Bizerte,Low
Kef Ennahor,Natural Landmark,Kef,Low
Djebel Chitana,Eco-tourism Spot,Kairouan,Low
Borj El Kebir,Historical Site,Djerba,Low
The Underground Caves of Beni Isguen,Hidden Gem,Gafsa,Low
Dar Am Taieb Museum,Cultural Experience,Sousse,Low
Ksar Hallouf,Historical Site,Medenine,Low
Ain Tounga Ruins,Historical Site,Beja,Low
Foum Tataouine,Natural Landmark,Tataouine,Low
Jebil National Park,Natural Landmark,Southern Tunisia,Low
Zlass Beach,Natural Landmark,Zarzis,Low
Ghar El Kibrit,Natural Landmark,Bizerte,Low
El Haouaria Cliffs,Natural Landmark,Cap Bon,Low
La Galite Islands,Natural Landmark,Bizerte,Medium
Beni Khalled Olive Groves,Hidden Gem,Nabeul,Low
Ras Ermal Beach,Natural Landmark,Djerba,Low
Belvedere Park,Natural Landmark,Tunis,Low
Sidi Idris Troglodyte Hotel,Cultural Experience,Matmata,Low
Ksar El Hallouf,Historical Site,Medenine,Low
Djebba's Roman Tombs,Historical Site,Béja,Low
Gafsa's Roman Pools,Historical Site,Gafsa,Low
Douiret's Granary,Cultural Landmark,Tataouine,Low
El Abiod Valley,Natural Landmark,Kasserine,Low
Sidi El Barrak Dam,Natural Landmark,Bizerte,Low
The Ruins of Thuburbo Majus,Historical Site,Zaghouan,Low
Cap Zebib Beach,Natural Landmark,Bizerte,Low
El Garaa Oasis,Natural Landmark,Kebili,Low
Ras Marmour Beach,Natural Landmark,Zarzis,Low
Ain Tounga Ruins,Historical Site,Beja,Low
Ksar Ouled Soltane,Historical Site,Medenine,Low
Ksar Ghilane,Historical Site,Southern Tunisia,Low
Oasis de Ksar Ouled Soltane,Eco-tourism Spot,Medenine,Low
Zaghouan's Mount Mghira,Natural Landmark,Zaghouan,Low
Ksar of Medenine,Historical Site,Medenine,Low
Oasis of Ksar Chebika,Natural Landmark,Tozeur,Low
El Djebba,Hidden Gem,Jendouba,Low
Sidi Ali Bou Said,Cultural Experience,Sidi Bou Said,Low
Ras En Naqab,Hidden Gem,Zarzis,Low
Moulares,Natural Landmark,Siliana,Low
Marabout de Sidi Fares,Cultural Landmark,Tunis,Low
Musseum of Islamic Art,Museum,Tunis,High
Café de la Place,Local Experience,Hammamet,Low
Les Jardins de Carthage,Eco-tourism Spot,Carthage,Low
Medina of Sousse,Cultural Landmark,Sousse,Medium
Oasis de Chebika,Natural Landmark,Tozeur,Medium
Cape Serrat Cliffs,Natural Landmark,Bizerte,Low
The Salt Mines of Redeyef,Eco-tourism Spot,Gafsa,Low
Cap Bon Beaches,Natural Landmark,Cap Bon,Low
